Дата,Место,Температура,Скорость ветра
10-05-2020,Минск,-5,3
17-05-2020,Брест,-12,4
17-05-2020,Витебск,-17,1
17-05-2020,Гродно,-4,5
18-05-2020,Минск,0,4
19-05-2020,Минск,4,7
20-05-2020,Витебск,10,12
20-05-2020,Минск,11,10
21-05-2020,Гродно,21,7
21-05-2020,Минск,22,5
21-05-2020,Брест,17,2
16-05-2020,Минск,-5,3
17-06-2020,Брест,-12,4
17-06-2020,Витебск,-17,1
17-06-2020,Гродно,-4,5
18-06-2020,Минск,0,4
19-06-2020,Минск,4,7
20-06-2020,Витебск,10,12
20-06-2020,Минск,11,10
21-06-2020,Гродно,21,7
21-06-2020,Минск,22,5
21-06-2020,Брест,17,2
